"","list_name","name","label","district","subcounty","origin","level_1","settlement"
"1","respondent.type.list","refugee","Refugee","","","","",""
"2","respondent.type.list","host.community","Host community member","","","","",""
"3","","","","","","","",""
"4","time.in.settlement.list","6.months.and.under","Under 6 months","","","","",""
"5","time.in.settlement.list","over.2.years","Over 2 years","","","","",""
"6","time.in.settlement.list","over.1.year.to.2","Between one and two years","","","","",""
"7","time.in.settlement.list","7.months.to.year","Between 6 months and a year","","","","",""
"8","","","","","","","",""
"9","refugee.settlement.list","agojo","Agojo","","","","",""
"10","refugee.settlement.list","alere.ii","Alere II","","","","",""
"11","refugee.settlement.list","ayilo.i","Ayilo I","","","","",""
"12","refugee.settlement.list","ayilo.ii","Ayilo II","","","","",""
"13","refugee.settlement.list","baratuku","Baratuku","","","","",""
"14","refugee.settlement.list","bidibidi","Bidibidi","","","","",""
"15","refugee.settlement.list","boroli","Boroli","","","","",""
"16","refugee.settlement.list","elema","Elema","","","","",""
"17","refugee.settlement.list","imvepi","Imvepi","","","","",""
"18","refugee.settlement.list","kiryandongo","Kiryandongo","","","","",""
"19","refugee.settlement.list","kyaka.ii","Kyaka II","","","","",""
"20","refugee.settlement.list","kyangwali","Kyangwali","","","","",""
"21","refugee.settlement.list","lobule","Lobule","","","","",""
"22","refugee.settlement.list","maaji.i","Maaji I","","","","",""
"23","refugee.settlement.list","maaji.ii","Maaji II","","","","",""
"24","refugee.settlement.list","maaji.iii","Maaji III","","","","",""
"25","refugee.settlement.list","mirieyi","Mirieyi","","","","",""
"26","refugee.settlement.list","mungula.i","Mungula I","","","","",""
"27","refugee.settlement.list","mungula.ii","Mungula II","","","","",""
"28","refugee.settlement.list","nakivale","Nakivale","","","","",""
"29","refugee.settlement.list","nyumanzi","Nyumanzi","","","","",""
"30","refugee.settlement.list","oliji","Oliji","","","","",""
"31","refugee.settlement.list","olua.i","Olua I","","","","",""
"32","refugee.settlement.list","olua.ii","Olua II","","","","",""
"33","refugee.settlement.list","oruchinga","Oruchinga","","","","",""
"34","refugee.settlement.list","pagrinya","Pagrinya","","","","",""
"35","refugee.settlement.list","palabek","Palabek","","","","",""
"36","refugee.settlement.list","palorinya","Palorinya","","","","",""
"37","refugee.settlement.list","rhino.camp","Rhino Camp","","","","",""
"38","refugee.settlement.list","rwamwanja","Rwamwanja","","","","",""
"39","","","","","","","",""
"40","refugee.settlement.zone.list","zone.a","Zone A","","","","","imvepi"
"41","refugee.settlement.zone.list","zone.b","Zone B","","","","","imvepi"
"42","refugee.settlement.zone.list","zone.c","Zone C","","","","","imvepi"
"43","refugee.settlement.zone.list","other","Other","","","","","imvepi"
"44","refugee.settlement.zone.list","ocea","Ocea","","","","","rhino_camp"
"45","refugee.settlement.zone.list","ofua","Ofua","","","","","rhino_camp"
"46","refugee.settlement.zone.list","omugo","Omugo","","","","","rhino_camp"
"47","refugee.settlement.zone.list","siripi","Siripi","","","","","rhino_camp"
"48","refugee.settlement.zone.list","odobu","Odobu","","","","","rhino_camp"
"49","refugee.settlement.zone.list","eden","Eden","","","","","rhino_camp"
"50","refugee.settlement.zone.list","tika","Tika","","","","","rhino_camp"
"51","refugee.settlement.zone.list","other","Other","","","","","rhino_camp"
"52","refugee.settlement.zone.list","zone.1","Zone 1","","","","","nakivale"
"53","refugee.settlement.zone.list","zone.2","Zone 2","","","","","nakivale"
"54","refugee.settlement.zone.list","zone.3","Zone 3","","","","","nakivale"
"55","refugee.settlement.zone.list","other","Other","","","","","nakivale"
"56","refugee.settlement.zone.list","zone.1","Zone 1","","","","","palorinya"
"57","refugee.settlement.zone.list","zone.2","Zone 2","","","","","palorinya"
"58","refugee.settlement.zone.list","zone.3","Zone 3","","","","","palorinya"
"59","refugee.settlement.zone.list","other","Other","","","","","palorinya"
"60","refugee.settlement.zone.list","zone.1","Zone 1","","","","","bidibidi"
"61","refugee.settlement.zone.list","zone.2","Zone 2","","","","","bidibidi"
"62","refugee.settlement.zone.list","zone.3","Zone 3","","","","","bidibidi"
"63","refugee.settlement.zone.list","zone.4","Zone 4","","","","","bidibidi"
"64","refugee.settlement.zone.list","zone.5","Zone 5","","","","","bidibidi"
"65","refugee.settlement.zone.list","other","Other","","","","","bidibidi"
"66","","","","","","","",""
"67","district.list","arua","Arua","","","","",""
"68","district.list","moyo","Moyo","","","","",""
"69","district.list","koboko","Koboko","","","","",""
"70","district.list","adjumani","Adjumani","","","","",""
"71","district.list","lamwo","Lamwo","","","","",""
"72","district.list","kiryandongo","Kiryandongo","","","","",""
"73","district.list","kamwenge","Kamwenge","","","","",""
"74","district.list","kyegegwa","Kyegegwa","","","","",""
"75","district.list","isingiro","Isingiro","","","","",""
"76","district.list","hoima","Hoima","","","","",""
"77","district.list","yumbe","Yumbe","","","","",""
"78","district.list","other","Other","","","","",""
"79","","","","","","","",""
"80","subcounty.list","adjumani.tc","Adjumani TC","adjumani","","","",""
"81","subcounty.list","adropi","Adropi","adjumani","","","",""
"82","subcounty.list","arinyapi","Arinyapi","adjumani","","","",""
"83","subcounty.list","ciforo","Ciforo","adjumani","","","",""
"84","subcounty.list","dzaipi","Dzaipi","adjumani","","","",""
"85","subcounty.list","itirikwa","Itirikwa","adjumani","","","",""
"86","subcounty.list","ofua","Ofua","adjumani","","","",""
"87","subcounty.list","okusijoni","Okusijoni","adjumani","","","",""
