loop_position,capacity,journeys,litres,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status
1,20.0,1,20,1,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,1,2480614,d6832692-d4e3-4cab-810e-1de32911d445,2018-04-23T15:56:58,
2,20.0,1,20,2,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,1,2480614,d6832692-d4e3-4cab-810e-1de32911d445,2018-04-23T15:56:58,
3,20.0,1,20,3,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,1,2480614,d6832692-d4e3-4cab-810e-1de32911d445,2018-04-23T15:56:58,
4,5.0,2,10,4,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,1,2480614,d6832692-d4e3-4cab-810e-1de32911d445,2018-04-23T15:56:58,
5,5.0,2,10,5,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,1,2480614,d6832692-d4e3-4cab-810e-1de32911d445,2018-04-23T15:56:58,
1,20.0,2,40,6,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,2,2480615,08b4e17e-4b9a-4989-8c21-58a9e0ced2c1,2018-04-23T15:57:01,
2,20.0,2,40,7,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,2,2480615,08b4e17e-4b9a-4989-8c21-58a9e0ced2c1,2018-04-23T15:57:01,
3,20.0,2,40,8,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,2,2480615,08b4e17e-4b9a-4989-8c21-58a9e0ced2c1,2018-04-23T15:57:01,
4,20.0,2,40,9,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,2,2480615,08b4e17e-4b9a-4989-8c21-58a9e0ced2c1,2018-04-23T15:57:01,
5,10.0,4,40,10,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,2,2480615,08b4e17e-4b9a-4989-8c21-58a9e0ced2c1,2018-04-23T15:57:01,
6,10.0,4,40,11,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,2,2480615,08b4e17e-4b9a-4989-8c21-58a9e0ced2c1,2018-04-23T15:57:01,
7,5.0,4,20,12,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,2,2480615,08b4e17e-4b9a-4989-8c21-58a9e0ced2c1,2018-04-23T15:57:01,
8,5.0,4,20,13,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,2,2480615,08b4e17e-4b9a-4989-8c21-58a9e0ced2c1,2018-04-23T15:57:01,
1,20.0,1,20,14,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,3,2480616,b164d2b3-bd9d-4427-b0a6-52c467b472ce,2018-04-23T15:57:04,
2,20.0,1,20,15,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,3,2480616,b164d2b3-bd9d-4427-b0a6-52c467b472ce,2018-04-23T15:57:04,
3,20.0,1,20,16,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,3,2480616,b164d2b3-bd9d-4427-b0a6-52c467b472ce,2018-04-23T15:57:04,
4,5.0,3,15,17,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,3,2480616,b164d2b3-bd9d-4427-b0a6-52c467b472ce,2018-04-23T15:57:04,
1,20.0,2,40,18,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,4,2480617,172f5a3c-e07d-4bcb-995d-409f41675902,2018-04-23T15:57:07,
2,20.0,2,40,19,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,4,2480617,172f5a3c-e07d-4bcb-995d-409f41675902,2018-04-23T15:57:07,
3,20.0,2,40,20,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,4,2480617,172f5a3c-e07d-4bcb-995d-409f41675902,2018-04-23T15:57:07,
4,20.0,2,40,21,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,4,2480617,172f5a3c-e07d-4bcb-995d-409f41675902,2018-04-23T15:57:07,
5,10.0,2,20,22,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,4,2480617,172f5a3c-e07d-4bcb-995d-409f41675902,2018-04-23T15:57:07,
6,10.0,2,20,23,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,4,2480617,172f5a3c-e07d-4bcb-995d-409f41675902,2018-04-23T15:57:07,
1,20.0,2,40,24,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,5,2480629,ab8cf155-2678-476e-aeb6-afdaa1b0c21e,2018-04-23T15:57:46,
2,20.0,2,40,25,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,5,2480629,ab8cf155-2678-476e-aeb6-afdaa1b0c21e,2018-04-23T15:57:46,
3,20.0,2,40,26,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,5,2480629,ab8cf155-2678-476e-aeb6-afdaa1b0c21e,2018-04-23T15:57:46,
4,20.0,2,40,27,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,5,2480629,ab8cf155-2678-476e-aeb6-afdaa1b0c21e,2018-04-23T15:57:46,
5,10.0,2,20,28,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,5,2480629,ab8cf155-2678-476e-aeb6-afdaa1b0c21e,2018-04-23T15:57:46,
6,10.0,2,20,29,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,5,2480629,ab8cf155-2678-476e-aeb6-afdaa1b0c21e,2018-04-23T15:57:46,
1,20.0,1,20,30,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,6,2480631,c6e1fb20-4189-475e-ba2f-4ab3dba44339,2018-04-23T15:57:49,
2,20.0,1,20,31,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,6,2480631,c6e1fb20-4189-475e-ba2f-4ab3dba44339,2018-04-23T15:57:49,
3,20.0,1,20,32,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,6,2480631,c6e1fb20-4189-475e-ba2f-4ab3dba44339,2018-04-23T15:57:49,
4,20.0,1,20,33,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,6,2480631,c6e1fb20-4189-475e-ba2f-4ab3dba44339,2018-04-23T15:57:49,
5,20.0,1,20,34,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,6,2480631,c6e1fb20-4189-475e-ba2f-4ab3dba44339,2018-04-23T15:57:49,
6,20.0,1,20,35,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,6,2480631,c6e1fb20-4189-475e-ba2f-4ab3dba44339,2018-04-23T15:57:49,
7,20.0,1,20,36,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,6,2480631,c6e1fb20-4189-475e-ba2f-4ab3dba44339,2018-04-23T15:57:49,
1,20.0,3,60,37,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,7,2480633,3d60cf24-8fad-4fe7-a87b-be34c84b6f82,2018-04-23T15:57:52,
2,20.0,3,60,38,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,7,2480633,3d60cf24-8fad-4fe7-a87b-be34c84b6f82,2018-04-23T15:57:52,
3,20.0,3,60,39,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,7,2480633,3d60cf24-8fad-4fe7-a87b-be34c84b6f82,2018-04-23T15:57:52,
4,20.0,2,40,40,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,7,2480633,3d60cf24-8fad-4fe7-a87b-be34c84b6f82,2018-04-23T15:57:52,
5,10.0,2,20,41,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,7,2480633,3d60cf24-8fad-4fe7-a87b-be34c84b6f82,2018-04-23T15:57:52,
6,5.0,2,10,42,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,7,2480633,3d60cf24-8fad-4fe7-a87b-be34c84b6f82,2018-04-23T15:57:52,
1,20.0,2,40,43,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,8,2480635,a8f1a963-27b0-492c-837b-1b5e7a217cf9,2018-04-23T15:57:55,
2,20.0,2,40,44,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,8,2480635,a8f1a963-27b0-492c-837b-1b5e7a217cf9,2018-04-23T15:57:55,
3,20.0,2,40,45,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,8,2480635,a8f1a963-27b0-492c-837b-1b5e7a217cf9,2018-04-23T15:57:55,
4,5.0,3,15,46,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,8,2480635,a8f1a963-27b0-492c-837b-1b5e7a217cf9,2018-04-23T15:57:55,
5,5.0,3,15,47,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,8,2480635,a8f1a963-27b0-492c-837b-1b5e7a217cf9,2018-04-23T15:57:55,
6,3.0,1,3,48,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,8,2480635,a8f1a963-27b0-492c-837b-1b5e7a217cf9,2018-04-23T15:57:55,
1,20.0,1,20,49,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,9,2480652,cd02bb1a-eb46-4b61-99ac-6df2deab7e21,2018-04-23T15:58:25,
2,20.0,1,20,50,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,9,2480652,cd02bb1a-eb46-4b61-99ac-6df2deab7e21,2018-04-23T15:58:25,
3,20.0,1,20,51,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,9,2480652,cd02bb1a-eb46-4b61-99ac-6df2deab7e21,2018-04-23T15:58:25,
4,20.0,1,20,52,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,9,2480652,cd02bb1a-eb46-4b61-99ac-6df2deab7e21,2018-04-23T15:58:25,
5,5.0,5,25,53,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,9,2480652,cd02bb1a-eb46-4b61-99ac-6df2deab7e21,2018-04-23T15:58:25,
1,20.0,1,20,54,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,10,2480655,d56ea5c1-782b-48c8-87c5-a7dd9bcb921f,2018-04-23T15:58:27,
2,20.0,1,20,55,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,10,2480655,d56ea5c1-782b-48c8-87c5-a7dd9bcb921f,2018-04-23T15:58:27,
1,10.0,3,30,56,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,11,2480658,6ae308b9-a7d0-43fb-a369-45995c3d2111,2018-04-23T15:58:30,
2,5.0,3,15,57,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,11,2480658,6ae308b9-a7d0-43fb-a369-45995c3d2111,2018-04-23T15:58:30,
3,5.0,3,15,58,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,11,2480658,6ae308b9-a7d0-43fb-a369-45995c3d2111,2018-04-23T15:58:30,
4,20.0,3,60,59,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,11,2480658,6ae308b9-a7d0-43fb-a369-45995c3d2111,2018-04-23T15:58:30,
5,20.0,3,60,60,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,11,2480658,6ae308b9-a7d0-43fb-a369-45995c3d2111,2018-04-23T15:58:30,
6,20.0,3,60,61,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,11,2480658,6ae308b9-a7d0-43fb-a369-45995c3d2111,2018-04-23T15:58:30,
7,20.0,3,60,62,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,11,2480658,6ae308b9-a7d0-43fb-a369-45995c3d2111,2018-04-23T15:58:30,
1,20.0,2,40,63,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,12,2480659,59d1959d-c99a-4cbf-8137-99bee4754689,2018-04-23T15:58:30,
2,10.0,3,30,64,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,12,2480659,59d1959d-c99a-4cbf-8137-99bee4754689,2018-04-23T15:58:30,
3,18.0,2,36,65,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,12,2480659,59d1959d-c99a-4cbf-8137-99bee4754689,2018-04-23T15:58:30,
4,5.0,3,15,66,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,12,2480659,59d1959d-c99a-4cbf-8137-99bee4754689,2018-04-23T15:58:30,
1,20.0,4,80,67,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,13,2480662,a05b327a-a90a-482c-ad32-0bb9d14ace3a,2018-04-23T15:58:33,
2,10.0,4,40,68,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,13,2480662,a05b327a-a90a-482c-ad32-0bb9d14ace3a,2018-04-23T15:58:33,
3,5.0,5,25,69,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,13,2480662,a05b327a-a90a-482c-ad32-0bb9d14ace3a,2018-04-23T15:58:33,
1,20.0,3,60,70,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,14,2480665,9803beb2-c61c-4452-9f59-2c43ecc930db,2018-04-23T15:58:36,
2,10.0,2,20,71,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,14,2480665,9803beb2-c61c-4452-9f59-2c43ecc930db,2018-04-23T15:58:36,
1,20.0,2,40,72,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,15,2480667,959314da-64df-46d4-960e-3d94b3db3ce2,2018-04-23T15:58:38,
2,20.0,2,40,73,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,15,2480667,959314da-64df-46d4-960e-3d94b3db3ce2,2018-04-23T15:58:38,
3,10.0,2,20,74,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,15,2480667,959314da-64df-46d4-960e-3d94b3db3ce2,2018-04-23T15:58:38,
4,5.0,2,10,75,REACH_UGA_UNHCR_MSNA_Questionnaire_20APR2018,15,2480667,959314da-64df-46d4-960e-3d94b3db3ce2,2018-04-23T15:58:38,
